No,Unit'sName,Name1,Type1,P11,P21,P31,P41,P51,Tage1,Lev1,Crt1,Boost1,Detail1,Name2,Type2,P12,P22,P32,P42,P52,Tage2,Lev2,Crt2,Boost2,Detail2
222,リュウスイニタダヨイシモノ,ユラリタユタウキバ,水,水,水,水,,,単体,中,,,,スベテヲナガスゲキリュウ,水,水,水,水,水,水,全体,特大,,,
223,センプウニフカレシモノ,フワリスルドイカマ,風,風,風,風,,,単体,中,,,,スベテヲフキトバスアラシ,風,風,風,風,風,風,全体,特大,,,
224,センコウニテラサレシモノ,ヒカリカガヤクヒトミ,光,光,光,光,,,単体,中,,,,スベテヲテラシダスヒカリ,光,光,光,光,光,光,全体,特大,,,
225,トコヤミニダカレシモノ,クロクマガマガシイツノ,闇,闇,闇,闇,,,単体,中,,,,スベテヲノミコムシンエン,闇,闇,闇,闇,闇,闇,全体,特大,,,
226,ゼツムニハタセシモノ,シロクムジヒナツメ,無,無,無,無,,,単体,中,,,,スベテヲムニキスコトワリ,無,無,無,無,無,無,全体,特大,,,
227,クリスティーナ,だが断る,炎,炎,炎,,,,単体,小,,,,宇宙の法則が乱れるのよ,炎,炎,炎,炎,炎,,全体,小,,,
228,牧瀬紅莉栖,助手って言うな,炎,炎,炎,,,,単体,中,,,,ヽ(*゜д゜)ノ＜カイバー,炎,炎,炎,炎,炎,炎,全体,大,,,
229,まゆしぃ☆,イラッ☆,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
230,椎名まゆり,トゥットゥルー♪,水,水,水,,,,単体,中,,,,ジューシーからあげＮｏ１,水,回,回,水,,,回復,20%,,,
231,バレル・タイターの娘,ナメるな,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
232,阿万音鈴羽,オーキードーキー,風,風,風,,,,単体,中,,,,この手を握って,風,回,回,風,,,回復,20%,,,
233,フェイリス・ニャンニャン,お帰りニャさいませ,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
234,フェイリス,禁断の秘奥義ニャ,光,光,光,,,,単体,中,,,,,,,,,,,,,,,
235,ルカ子,素振り５回目,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
236,漆原るか,参拾弐式・桜暴,無,無,無,,,,単体,中,,,,エル・プサイ・コンガリィ,無,無,無,無,無,無,全体,中,,,
237,鳳凰院凶真,未来ガジェット一号,闇,闇,闇,,,,単体,小,,,,俺は鳳凰院凶真だッ,闇,闇,闇,闇,,,単体,中,,,
238,岡部倫太郎,未来ガジェット六号,闇,闇,闇,,,,単体,中,,,,エル・プサイ・コングルゥ,闇,闇,闇,闇,闇,,全体,大,,,
239,ダル,ハッカーだろ常考,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
240,橋田至,リア充爆発しろ,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
241,アルパカ司令,幸運を祈ってやるよ,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
242,アルパカマン,サルサ・ファイヤーガン,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
243,うーぱ,うーぱんち,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
244,レッドうーぱ,レッドうーぱんち,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
245,ブルーうーぱ,ブルーうーぱんち,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
246,グリーンうーぱ,グリーンうーぱんち,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
247,メタルうーぱ：ゴールド,ゴールドうーぱんち,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
248,パープルうーぱ,パープルうーぱんち,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
249,メタルうーぱ,メタルうーぱんち,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
250,めたぼんうーぱ,めたぼんうーぱんち,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
251,クッキャー,ライトボール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
252,デッドクッキャー,ライトボール,光,光,光,,,,単体,小,,,,スウィート・ライト,光,闇,無,,,,単体,中,,,
253,キャンディア,ダークボール,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
254,デッドキャンディア,ダークボール,闇,闇,闇,,,,単体,小,,,,スウィート・ダーク,闇,光,無,,,,単体,中,,,
255,チョコラ,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
256,デッドチョコラ,ノーンボール,無,無,無,,,,単体,小,,,,スウィート・ノーン,無,光,闇,,,,単体,中,,,
257,ジャックランタン,パンプキン,闇,闇,闇,,,,単体,小,,,,トリック・オア・トリート,闇,闇,闇,闇,,,単体,中,,,
258,収穫魔ジャックランタン,パンプキン：セカンド,闇,闇,闇,,,,単体,中,,,,ハッピー・ハロウィン,闇,闇,光,無,,,単体,超特大,,,
259,アカズキン,ヴォルフ,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
260,赤の女王アカズキン,ヴォルフ・シザー,炎,炎,炎,,,,単体,中,,,,,,,,,,,,,,,
261,アリス,チェシャ,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
262,青の女王アリス,チェシャ・クロノ,水,水,水,,,,単体,中,,,,,,,,,,,,,,,
263,イバラ,ブランブル,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
264,緑の女王イバラ,ブランブル・ソーラー,風,風,風,,,,単体,中,,,,,,,,,,,,,,,
265,シンデレラ,トゥエルブ,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
266,黄の女王シンデレラ,トゥエルブ・ゼロ,光,光,光,,,,単体,中,,,,,,,,,,,,,,,
267,カグヤ,ミタラシ,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
268,紫の女王カグヤ,ミタラシ・ゲッコー,闇,闇,闇,,,,単体,中,,,,,,,,,,,,,,,
269,シラユキ,ピグミーズ,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
270,白の女王シラユキ,ピグミーズ・ミラー,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
271,ベディヴィア,ベドウィル,炎,炎,炎,,,,単体,中,,,,レディ・オブ・ザ・レイク,炎,炎,炎,炎,炎,,単体,超特大,,,
272,聖銃士ベディヴィア,ベドウィル：リボルブ,炎,炎,炎,,,,単体,大,,,,ダーム・デュ・ラック,炎,炎,炎,炎,,,単体,超特大,,,
273,トリスタン,イゾルデ,水,水,水,,,,単体,小,,,,エリクシル,水,回,水,,,,回復,15%,,,
274,聖銃士トリスタン,イゾルデ：リボルブ,水,水,水,,,,単体,中,,,,エリクシル・オブ・ラブ,水,回,回,水,,,回復,35%,,,
275,ガレス,ボーマン,風,風,風,,,,単体,小,,,,フェア・アンノウン,風,風,風,風,風,,全体,超特大,,,
276,聖銃士ガレス,ボーマン：リボルブ,風,風,風,,,,単体,中,,,,フェア・アンノウン,風,風,風,風,風,,全体,超特大,,,
277,ランスロット,アロンダイト,光,光,光,,,,単体,中,,,,エレイン,光,光,光,光,光,光,全体,超特大,,,
278,聖銃士ランスロット,アロンダイト：リボルブ,光,光,光,,,,単体,大,,,,デュオ・エレイン,光,光,光,光,光,,全体,超特大,,,
279,パーシヴァル,ディンドラン,闇,闇,闇,,,,単体,中,,,,エターナルショット,闇,闇,闇,闇,闇,闇,全体,特大,,,
280,聖銃士パーシヴァル,ディンドラン：リボルブ,闇,闇,闇,,,,単体,大,,,,インフィニティショット,闇,闇,闇,闇,,,全体,特大,,,
281,ガウェイン,ガラティン,無,無,無,無,,,単体,中,,,,グワルフマイ,無,無,無,無,無,無,単体,超特大,,,
282,聖銃士ガウェイン,ガラティン：リボルブ,無,無,無,,,,単体,中,,,,ホーク・オブ・メイ,無,無,無,無,無,,単体,絶大,5%,,
283,ユーウェイン,ロディーヌ,炎,炎,炎,炎,,,単体,中,,,,フレイム・バーク,炎,炎,炎,炎,炎,,全体,超特大,,,
284,聖銃士ユーウェイン,ロディーヌ：リボルブ,炎,炎,炎,,,,全体,大,,,,ブレイジング・バーク,炎,炎,炎,炎,,,全体,超特大,,,
285,ブルーノ,マラディザンド,水,水,水,,,,単体,中,,,,ビアンペサント,水,水,水,水,水,水,単体,超特大,,,
286,聖銃士ブルーノ,マラディザンド：リボルブ,水,水,水,,,,単体,大,3%,,,ジエロ・ビアンペサント,水,水,水,水,水,,単体,超特大,5%,,
287,ケイ,ウルナッハ,風,風,風,風,,,単体,中,,,,キルッフ・オルウェン,風,風,風,風,風,,全体,中,,,
288,聖銃士ケイ,ウルナッハ：リボルブ,風,風,風,,,,単体,大,,,,モン・サン＝ミシェル,風,風,風,風,風,,全体,大,,,
289,ラモラック,モルゴース,光,光,光,光,,,単体,中,,,,オークニー,光,光,光,光,光,光,単体,超特大,,,
290,聖銃士ラモラック,モルゴース：リボルブ,光,光,光,,,,単体,大,,,,ルミナ・オークニー,光,光,光,光,光,,単体,絶大,,,
291,モルドレッド,ギネヴィア,闇,闇,闇,,,,単体,小,,,,マリシアス,闇,闇,闇,闇,闇,闇,単体,超特大,,,
292,聖銃士モルドレッド,ギネヴィア：リボルブ,闇,闇,闇,,,,単体,中,,,,マリシアス・メドラウト,闇,闇,闇,闇,闇,闇,単体,絶大,7%,,
293,パロミデス,ビースト,無,無,無,,,,単体,小,,,,ホローポイント,無,無,無,無,無,,単体,特大,,,
294,聖銃士パロミデス,ビースト：リボルブ,無,無,無,,,,全体,中,,,,シルバーブレット,無,無,無,無,無,,全体,超絶大,,,
295,アーサー,エクスカリバー,光,光,光,,,,単体,中,,,,カルンウェナン,光,光,光,光,光,,全体,中,,,
296,聖王アーサー,エクスカリバー：リボルブ,光,光,光,,,,単体,特大,,,,ディバイン・クラウン,光,光,光,光,光,,全体,超特大,,,
297,メガヒノポックルン,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒールⅡ,炎,回,回,炎,,,回復,20%,,,
298,メガミズポックルン,アクアボール,水,水,水,,,,単体,小,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
299,メガカゼポックルン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒールⅡ,風,回,回,風,,,回復,20%,,,
300,メガピカポックルン,ライトボール,光,光,光,,,,単体,小,,,,ライトヒールⅡ,光,回,回,光,,,回復,20%,,,
301,メガヤミポックルン,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒールⅡ,闇,回,回,闇,,,回復,20%,,,
302,メガコロポックルン,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒールⅡ,無,回,回,無,,,回復,20%,,,
303,ナツ,火竜の鉄拳,炎,炎,炎,,,,単体,小,,,,火竜の咆哮,炎,炎,炎,炎,炎,,全体,大,,,
304,火の滅竜魔導士ナツ,紅蓮火竜拳,炎,炎,炎,,,,単体,中,,,,雷炎竜の咆哮,炎,炎,炎,炎,光,,全体,絶大,,,
305,グレイ,アイスメイク・突撃槍,水,水,水,,,,単体,小,,,,アイスメイク・大槌兵,水,水,水,水,,,単体,大,,,
306,氷の造形魔導士グレイ,アイスメイク・氷創騎兵,水,水,水,,,,単体,中,,,,氷撃の鎚,水,水,水,水,,,単体,特大,,,
307,ウェンディ,天竜の砕牙,風,風,風,,,,単体,小,,,,治癒魔法,風,回,回,風,,,回復,25%,,,
308,天空の滅竜魔導士ウェンディ,天竜の咆哮,風,風,風,,,,全体,大,,,,治癒魔法,風,回,回,風,,,回復,25%,,,
309,ルーシィ,人馬宮のサジタリウス,風,光,風,,,,単体,中,,,,金牛宮のタウロス,光,光,光,,,,単体,中,,,
310,星霊魔導士ルーシィ,天蝎宮のスコーピオン,無,光,無,,,,単体,大,,,,宝瓶宮のアクエリアス,水,光,水,,,,全体,特大,,,
311,ミラジェーン,トレーアタック,闇,闇,闇,,,,単体,小,,,,魔性の笑み,闇,闇,闇,闇,,,単体,中,,,
312,ミラジェーン：サタンソウル,イービルアイ,闇,闇,闇,,,,単体,中,,,,デモンズペイン,闇,闇,闇,闇,闇,闇,全体,超特大,,,
313,ガジル,鉄竜棍,無,無,無,,,,単体,小,,,,鉄竜の咆哮,無,無,無,無,無,,全体,大,,,
314,鉄の滅竜魔導士ガジル,鉄竜剣,無,無,無,,,,単体,中,,,,鉄影竜の咆哮,無,無,無,無,闇,,全体,絶大,,,
315,エルザ,天輪・繚乱の剣,無,無,無,,,,単体,中,,,,黒羽・月閃,無,無,無,無,,,全体,中,,,
316,エルザ：聖扉の鎧,聖扉・参幻鎌,無,無,無,,,,単体,大,,,,聖扉・無限参幻鎌,無,無,無,無,無,無,全体,絶大,,,
317,リサーナ,アニマルソウル・猫人,風,風,風,,,,単体,小,,,,アニマルソウル・ハーピー,風,風,風,風,,,単体,大,,,
318,ジュビア,水流斬破,水,水,水,,,,単体,小,,,,水流激鋸,水,水,水,水,水,,全体,特大,,,
319,ラクサス,雷竜方天戟,光,光,光,,,,単体,中,,,,雷竜の咆哮,光,光,光,光,光,,全体,大,,,
320,ギルダーツ,クラッシュ,炎,炎,炎,炎,炎,,単体,超特大,,,,,,,,,,,,,,,
321,メイビス,妖精の法律,無,無,無,無,,,全体,中,,,,妖精の輝き,無,炎,水,風,光,闇,全体,超絶大,,,
322,ハッピー,ハッピーの鉄拳,炎,炎,炎,,,,単体,小,,,,,,水,水,,,,,,,,
323,ニチヤ,メェーン,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
324,シャルル,シャルルの翼撃,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
325,レクター,レクターの咆哮,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
326,フロッシュ,フローの咆哮,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
327,パンサー・リリー,ムジカの剣,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
328,プルー,プーン,光,光,光,,,,単体,小,,,,ププーン,光,光,光,光,光,,全体,小,,,
329,ジェラール,七星剣,闇,闇,闇,,,,全体,小,,,,暗黒の楽園,闇,闇,闇,闇,闇,,全体,超特大,,,
330,ユライ,タトラ,風,風,風,,,,単体,小,,,,トマーシュ,風,風,風,風,風,,全体,小,,,
331,義賊皇ユライ,タトラ・ケッテ,風,風,風,,,,単体,中,,,,トマーシュ・ウホルチーク,風,風,風,風,風,,全体,中,,,
332,イナリ,キツネビ,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
333,巫女狐イナリ,キュウビノホムラ,炎,炎,炎,,,,全体,小,,,,,,,,,,,,,,,
334,炎刑者フレイムタン,フレイムタン：セカンド,炎,炎,炎,,,,単体,中,,,,,,,,,,,,,,,
335,氷刑者アイスブランド,アイスブランド：セカンド,水,水,水,,,,単体,中,,,,,,,,,,,,,,,
336,風刑者ウィンドピア,ウィンドピア：セカンド,風,風,風,,,,単体,中,,,,,,,,,,,,,,,
337,光刑者ライトブレード,ライトブレード：セカンド,光,光,光,,,,単体,中,,,,,,,,,,,,,,,
338,闇刑者ダークサイズ,ダークサイズ：セカンド,闇,闇,闇,,,,単体,中,,,,,,,,,,,,,,,
339,無刑者ムミョウガタナ,ムミョウガタナ：弐式,無,無,無,,,,単体,中,,,,,,,,,,,,,,,
340,閃光の指圧師,聞きたいことがある,闇,闇,闇,,,,単体,中,,,,,,,,,,,,,,,
341,桐生萌郁,必要ない,闇,闇,闇,,,,単体,中,,,,シャイニングフィンガー,闇,闇,闇,光,光,,全体,大,,,
342,ヴァルプルギス,サヴァト,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
343,魔女王ヴァルプルギス,サヴァト・メア,闇,闇,闇,,,,全体,中,,,,,,,,,,,,,,,
344,パブロフ,エルプション,炎,炎,炎,,,,単体,中,,,,ケイナイン,炎,炎,炎,炎,炎,,全体,小,,,
345,炎才パブロフ,エルプション：ホムラ,炎,炎,炎,,,,単体,大,,,,パブロフ・ケイナイン,炎,炎,炎,炎,,,全体,小,,,
346,シュレディンガー,ディラック,水,水,水,,,,単体,中,,,,キャット,水,水,水,水,水,,全体,小,,,
347,水才シュレディンガー,ディラック・ポール,水,水,水,,,,単体,中,,,,パラドックス・キャット,水,水,水,水,,,全体,大,,,
348,ラプラス,エール,風,風,風,,,,単体,小,,,,ガイスト,風,風,風,風,風,,全体,中,,,
349,風才ラプラス,ディアブル・エール,風,風,風,,,,単体,中,,,,ラプラス・ガイスト,風,風,風,風,,,全体,特大,,,
350,カルネアデス,オプタルモス,光,光,光,,,,単体,中,,,,プランク,光,光,光,光,光,,全体,小,,,
351,光才カルネアデス,ピソ・オプタルモス,光,光,光,,,,単体,中,,,,カルネアデス・プランク,光,光,光,光,,,全体,大,,,
352,ヘンペル,ヘルツ,闇,闇,闇,,,,単体,小,,,,レイヴンズ,闇,闇,闇,闇,闇,,全体,中,,,
353,闇才ヘンペル,ヘルツ・リューゲ,闇,闇,闇,,,,単体,小,,,,ヘンペル・レイヴンズ,闇,闇,闇,闇,,,全体,特大,,,
354,メビウス,ループ,無,無,無,,,,単体,小,,,,リング,無,無,無,無,無,,全体,小,,,
355,無才メビウス,ループ・ループ,無,無,無,,,,単体,大,,,,メビウス・リング,無,無,無,無,,,全体,中,,,
356,プチモネ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒール,炎,回,炎,,,,回復,10%,,,
357,アネモネ,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアヒールⅡ,炎,回,回,炎,,,回復,20%,,,
358,プチニカ,アクアボール,水,水,水,,,,単体,小,,,,アクアヒール,水,回,水,,,,回復,10%,,,
359,ベロニカ,アクアボール,水,水,水,,,,単体,小,,,,アクアヒールⅡ,水,回,回,水,,,回復,20%,,,
360,プチゼツラン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒール,風,回,風,,,,回復,10%,,,
361,リュウゼツラン,ウィンドボール,風,風,風,,,,単体,小,,,,ウィンドヒールⅡ,風,回,回,風,,,回復,20%,,,
362,プチワリ,ライトボール,光,光,光,,,,単体,小,,,,ライトヒール,光,回,光,,,,回復,10%,,,
363,ヒマワリ,ライトボール,光,光,光,,,,単体,小,,,,ライトヒールⅡ,光,回,回,光,,,回復,20%,,,
364,プチオラ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒール,闇,回,闇,,,,回復,10%,,,
365,ビオラ,ダークボール,闇,闇,闇,,,,単体,小,,,,ダークヒールⅡ,闇,回,回,闇,,,回復,20%,,,
366,プチユリ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒール,無,回,無,,,,回復,10%,,,
367,シラユリ,ノーンボール,無,無,無,,,,単体,小,,,,ノーンヒールⅡ,無,回,回,無,,,回復,20%,,,
368,スノウマン,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
369,セイントスノウマン,ノーンボール,無,無,無,,,,単体,小,,,,セイントスノウ,水,水,水,,,,単体,小,,,
370,ティンクル,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
371,セイントティンクル,ノーンボール,無,無,無,,,,単体,小,,,,セイントスター,炎,炎,炎,,,,単体,小,,,
372,ブーツン,ノーンボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
373,セイントブーツン,ノーンボール,無,無,無,,,,単体,小,,,,セイントキック,風,風,風,,,,単体,小,,,
374,イヴ,ジングル,風,風,風,,,,単体,小,,,,レインディア,光,光,光,光,光,,全体,小,,,
375,聖女イヴ,ジングル・ベル,風,風,風,,,,単体,中,,,,レインディア・ホーリー,光,光,光,光,光,,全体,中,,,
376,サンタクローズ,プレゼント,無,無,光,,,,単体,中,,,,メリークリスマス,無,無,無,無,,,全体,小,,,
377,聖者サンタクローズ,マッド・プレゼント,無,無,光,,,,単体,大,,,,ホワイトクリスマス,無,炎,風,光,,,全体,特大,,,
378,ジャック,リッパー,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
379,切裂魔ジャック,リッパー：セカンド,水,水,水,,,,単体,中,,,,,,,,,,,,,,,
380,コスモ,マレット,闇,闇,闇,,,,単体,小,,,,バイオレットフィズ,闇,回,闇,闇,,,回復,15%,,,
381,多元嬢コスモ,マレット：セカンド,闇,闇,闇,,,,単体,中,,,,ブルームーン,闇,回,光,無,,,回復,25%,,,
382,ミスター☆ディバイン,ディバイン☆チョップ,無,無,闇,,,,単体,小,,,,ディバイン☆ドロップ,闇,闇,闇,,,,単体,小,,,
383,ミスター☆ディバイン２号,ディバイン☆フェニックス,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
384,ミスター☆ディバイン３号,ディバイン☆フェンリル,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
385,ミスター☆ディバイヌ,ディバイン☆バイト,闇,無,無,,,,単体,小,,,,,,,,,,,,,,,
386,ミスター☆エッグ,ディバイン☆ボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
387,ミスター☆ハイエッグ,ディバイン☆ボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
388,ミスター☆キングエッグ,ディバイン☆ボール,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
389,ディバインネッキー,ファミ：セカンド,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
390,ヘレネ,セレスファイア,炎,炎,炎,,,,単体,小,,,,ビューティ・ファイア,炎,回,回,炎,,,回復,10%,,,
391,炎の美女ヘレネ,セレスファイアラア,炎,炎,炎,,,,単体,中,,,,ビューティ・ファイアⅡ,炎,回,回,炎,,,回復,20%,,,
392,オノノコマチ,セレスアクア,水,水,水,,,,単体,小,,,,ビューティ・アクア,水,回,回,水,,,回復,10%,,,
393,水の美女オノノコマチ,セレスアクアラア,水,水,水,,,,単体,中,,,,ビューティ・アクアⅡ,水,回,回,水,,,回復,20%,,,
394,ヨウキヒ,セレスウィンド,風,風,風,,,,単体,小,,,,ビューティ・ウィンド,風,回,回,風,,,回復,10%,,,
395,風の美女ヨウキヒ,セレスウィンダラア,風,風,風,,,,単体,中,,,,ビューティ・ウィンドⅡ,風,回,回,風,,,回復,20%,,,
396,カタリナ,セレスライト,光,光,光,,,,単体,小,,,,ビューティ・ライト,光,回,回,光,,,回復,10%,,,
397,光の美女カタリナ,セレスライタラア,光,光,光,,,,単体,中,,,,ビューティ・ライトⅡ,光,回,回,光,,,回復,20%,,,
398,クレオパトラ,セレスダーク,闇,闇,闇,,,,単体,小,,,,ビューティ・ダーク,闇,回,回,闇,,,回復,10%,,,
399,闇の美女クレオパトラ,セレスダークラア,闇,闇,闇,,,,単体,中,,,,ビューティ・ダークⅡ,闇,回,回,闇,,,回復,20%,,,
400,エリザベート,セレスノーン,無,無,無,,,,単体,小,,,,ビューティ・ノーン,無,回,回,無,,,回復,10%,,,
401,無の美女エリザベート,セレスノーンラア,無,無,無,,,,単体,中,,,,ビューティ・ノーンⅡ,無,回,回,無,,,回復,20%,,,
402,ゴルドラド,ライトアーム,光,光,光,,,,単体,小,,,,レフトアーム,光,光,光,光,光,光,全体,小,,,
403,ドス：ゴルドラド,ドス：ライトアーム,光,光,光,,,,単体,大,,,,ドス：レフトアーム,光,光,光,光,光,光,全体,大,,,
404,エレン,超硬質ブレード,無,無,無,,,,単体,小,,,,このクズ野郎が！,炎,炎,炎,炎,,,全体,小,,,
405,エレン・イェーガー,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,駆逐してやる！,炎,炎,炎,炎,,,全体,中,,,
406,ミカサ,超硬質ブレード,無,無,無,,,,単体,小,,,,戦わなければ勝てない,水,水,水,水,,,全体,小,,,
407,ミカサ・アッカーマン,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,肉を削ぎ落とすことです,水,水,水,水,,,全体,中,,,
408,アルミン,超硬質ブレード,無,無,無,,,,単体,小,,,,僕に任せろ！,風,風,風,風,,,全体,小,,,
409,アルミン・アルレルト,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,やってやる！,風,風,風,風,,,全体,中,,,
410,クリスタ,超硬質ブレード,無,無,無,,,,単体,小,,,,大丈夫！？,光,回,回,光,光,,回復,15%,,,
411,クリスタ・レンズ,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,私はそれが好きだよ！,光,回,回,光,光,,回復,25%,,,
412,リヴァイ,超硬質ブレード,無,無,無,,,,単体,小,,,,うるせぇガキ共め,闇,闇,闇,闇,闇,闇,単体,大,,,
413,リヴァイ兵長,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,頭が高いぞ,闇,闇,闇,闇,闇,闇,単体,超特大,,,
414,サシャ,超硬質ブレード,無,無,無,,,,単体,小,,,,パァン！,無,回,無,,,,回復,5%,,,
415,サシャ・ブラウス,超硬質ブレードうなじ狙い,無,無,無,,,,単体,中,,,,蒸かした芋です,無,回,無,,,,回復,10%,,,
416,女型の巨人,格闘パンチ,無,無,水,,,,単体,小,,,,格闘キック,水,水,水,水,水,,単体,特大,,,
417,鎧の巨人,タックル,無,無,無,,,,単体,小,,,,助走タックル,無,無,無,無,無,,単体,特大,,,
418,超大型巨人,叩きつける,無,無,炎,,,,単体,小,,,,なぎ払う,炎,炎,炎,炎,炎,,全体,大,,,
419,巨人：かきあげ,引き千切る,無,無,無,,,,単体,小,,,,喰い散らかす,無,無,無,無,無,,全体,中,,,
420,巨人：前かがみ,引き千切る,無,無,無,,,,単体,小,,,,喰い散らかす,無,無,無,無,無,,全体,中,,,
421,巨人：這いずり,引き千切る,無,無,無,,,,単体,小,,,,喰い散らかす,無,無,無,無,無,,全体,中,,,
422,ミスター☆キョジン,ディバイン☆チョップ,無,無,闇,,,,単体,小,,,,ディバイン☆ドロップ,闇,闇,闇,,,,単体,小,,,
423,シラヌイ,イグナイト：ゼロ,炎,炎,炎,炎,,,単体,中,,,,メギド・フレイム,炎,炎,炎,炎,炎,炎,全体,小,,,
424,シラヌイ：ホムラ,イグナイト：ラヴァ,炎,炎,炎,炎,,,単体,超特大,,,,メギド・インフェルノ,炎,炎,炎,炎,炎,炎,全体,小,,,
425,サミダレ,ワダツミ：零式,水,水,水,,,,単体,小,,,,モーメント・ゼロ,水,水,水,水,水,水,全体,小,,,
426,サミダレ：マブイ,ワダツミ：氷式,水,水,水,,,,単体,大,,,,アブソリュート・ゼロ,水,水,水,水,水,水,全体,大,,,
427,マイカゼ,リン：フォンシェン,風,風,風,,,,単体,小,,,,エアリアル・ドライブ,風,風,風,風,風,風,全体,中,,,
428,マイカゼ：カグラ,チェン：フォンシェン,風,風,風,,,,全体,中,,,,エアリアル・ドラゴン,風,風,風,風,風,風,全体,特大,,,
429,ライコウ,リュミエール：ゼロ,光,光,光,,,,単体,小,,,,ホーリィ・サンセット,光,光,光,光,光,光,全体,小,,,
430,ライコウ：ナユタ,リュミエール：エクラ,光,光,光,,,,単体,大,,,,ホーリィ・サンライズ,光,光,光,光,光,光,全体,大,,,
431,ムラクモ,アビス：ゼロ,闇,闇,闇,闇,,,単体,中,,,,ナイトメア・パレード,闇,闇,闇,闇,闇,闇,全体,中,,,
432,ムラクモ：オロチ,アビス：デモン,闇,闇,闇,闇,,,単体,超特大,,,,ナイトメア・サーカス,闇,闇,闇,闇,闇,闇,全体,特大,,,
433,アワユキ,ヤシャヒメ：零式,無,無,無,,,,単体,中,,,,ストラグル・ヴェイン,無,無,無,無,無,無,全体,小,,,
434,アワユキ：ミヤビ,ヤシャヒメ：虚式,無,無,無,,,,単体,大,,,,ストラグル・ヴァニタス,無,無,無,無,無,無,全体,小,,,
435,レプリカ,フェアウェル：ゼロ,無,無,無,無,,,単体,中,,,,カラミティ・クライ,無,無,無,無,無,無,全体,中,,,
436,レプリカ：バースト,フェアウェル：バースト,無,無,無,無,,,単体,大,,,,ディザスター・クライ,無,無,風,炎,水,闇,全体,超絶大,,,
437,フィアトロン：ドライ,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアウェーブ,炎,炎,炎,炎,炎,炎,全体,大,,,
438,ウォタトロン：ドライ,アクアブロウ,水,水,水,水,,,単体,中,,,,アクアウェーブ,水,水,水,水,水,水,全体,大,,,
